Vin	Cell1
1.009	0
2.005	0
3.001	0
4.014	52
5.013	112
6.009	170
7.00	228
8.02	288
9.01	344
10.01	400
11.00	460
12.02	526
13.02	580
14.01	640
15.01	696
16.01	752
17.00	812
18.00	867
19.01	924
20.01	978
21.00	1040
22.00	1089
23.01	1142
24.00	1192
25.00	1238
26.01	1285
27.01	1328
28.00	1369
28.99	1410
30.00	1446
31.00	1483
32.00	1517
33.05	1556
34.04	1584
35.04	1615
36.05	1643
37.04	1666
38.04	1690
39.04	1714
40.04	1739
41.03	1759
42.02	1777
43.04	1798
44.03	1816
45.03	1837
46.01	1853
47.01	1869
48.01	1885
49.01	1901
50.00	1915
51.00	1930
52.00	1942
52.99	1955
54.00	1968
54.99	1981
55.99	1995
